"sp","lat","lon"
"Thelypodium_crispum","40.0394","-119.782"
"Thelypodium_crispum","38.6972","-119.8431"
"Thelypodium_crispum","37.7149","-118.7909"
"Thelypodium_crispum","38.0539","-119.2744"
"Thelypodium_crispum","38.6082","-119.5664"
"Thelypodium_crispum","38.2253","-119.215"
"Thelypodium_crispum","37.2819","-118.3542"
"Thelypodium_crispum","38.2447","-119.2086"
"Thelypodium_crispum","37.5781","-118.7169"
"Thelypodium_crispum","37.6441","-118.8695"
"Thelypodium_crispum","38.2459","-119.2051"
"Thelypodium_crispum","36.8647","-118.1722"
"Thelypodium_crispum","37.3229","-118.5396"
"Thelypodium_crispum","38.3559","-119.1501"
"Thelypodium_crispum","39.7929","-120.1071"
"Thelypodium_crispum","37.294","-118.5516"
"Thelypodium_crispum","39.5131","-120.2422"
"Thelypodium_crispum","40.8811","-121.0619"
"Thelypodium_crispum","38.2491","-119.2034"
"Thelypodium_crispum","37.9336","-118.6011"
"Thelypodium_crispum","38.1916","-119.2218"
"Thelypodium_crispum","38.5408","-119.364"
"Thelypodium_crispum","37.5296","-118.6506"
"Thelypodium_crispum","38.88","-119.48"
"Thelypodium_crispum","37.28","-118.35"
"Thelypodium_crispum","40.03","-119.78"
"Thelypodium_crispum","40.75","-120.32"
"Thelypodium_crispum","37.67","-118.78"
"Thelypodium_crispum","40.0394","-119.7819"
"Thelypodium_crispum","38.889","-119.483"
"Thelypodium_crispum","39.644","-119.912"
"Thelypodium_crispum","37.8642","-118.9058"
"Thelypodium_crispum","40.75","-120.33"
"Thelypodium_crispum","37.5781","-118.717"
"Thelypodium_crispum","36.8642","-118.2182"
"Thelypodium_crispum","37.6712","-118.7881"
"Thelypodium_crispum","37.7258","-118.7839"
"Thelypodium_crispum","39.8192","-120.09"
"Thelypodium_crispum","37.0736","-118.3525"
"Thelypodium_crispum","37.2364","-118.3075"
"Thelypodium_crispum","40.3021","-120.1957"
"Thelypodium_crispum","37.8661","-118.9036"
"Thelypodium_crispum","38.109","-119.276"
"Thelypodium_crispum","37.699","-118.763"
"Thelypodium_crispum","38.6973","-119.8431"
"Thelypodium_crispum","37.6992","-118.7639"
"Thelypodium_crispum","37.6928","-118.7586"
"Thelypodium_crispum","37.0782","-118.3551"
"Thelypodium_crispum","37.2004","-118.3115"
"Thelypodium_crispum","37.1634","-118.3157"
"Thelypodium_crispum","37.0739","-118.3526"
"Thelypodium_crispum","37.7499","-118.8639"
"Thelypodium_crispum","38.2461","-119.2075"
"Thelypodium_crispum","37.8824","-118.891"
"Thelypodium_crispum","38.3752","-119.1893"
"Thelypodium_crispum","38.1527","-119.1371"
"Thelypodium_crispum","38.2241","-119.216"
"Thelypodium_crispum","37.6328","-118.8116"
"Thelypodium_crispum","39.7613","-120.25"
"Thelypodium_crispum","40.1714","-120.3714"
"Thelypodium_crispum","39.6722","-120.0014"
"Thelypodium_crispum","37.7175","-118.7833"
"Thelypodium_crispum","37.8514","-118.9006"
"Thelypodium_integrifolium","36.431","-115.359"
"Thelypodium_integrifolium","37.855","-111.3575"
"Thelypodium_integrifolium","41.498","-117.489"
"Thelypodium_integrifolium","40.71","-116.53"
"Thelypodium_integrifolium","37.19","-111.66"
"Thelypodium_integrifolium","43.1011","-112.505"
"Thelypodium_integrifolium","36.7394","-107.7175"
"Thelypodium_integrifolium","38.5683","-111.8405"
"Thelypodium_integrifolium","38.2736","-109.3731"
"Thelypodium_integrifolium","37.2886","-109.5433"
"Thelypodium_integrifolium","39.231","-110.048"
"Thelypodium_integrifolium","37.27","-113.41"
"Thelypodium_integrifolium","40.865","-109.0775"
"Thelypodium_integrifolium","37.307","-111.665"
"Thelypodium_integrifolium","41.398","-113.863"
"Thelypodium_integrifolium","37.953","-118.445"
"Thelypodium_integrifolium","40.306","-118.012"
"Thelypodium_integrifolium","37.8264","-109.0769"
"Thelypodium_integrifolium","43.0522","-118.8682"
"Thelypodium_integrifolium","44.2901","-117.5505"
"Thelypodium_integrifolium","42.8646","-118.401"
"Thelypodium_integrifolium","43.9331","-120.5538"
"Thelypodium_integrifolium","44.8711","-117.3231"
"Thelypodium_integrifolium","44.3042","-120.7683"
"Thelypodium_integrifolium","43.5864","-119.0531"
"Thelypodium_integrifolium","34.4583","-116.9667"
"Thelypodium_integrifolium","34.3492","-116.9317"
"Thelypodium_integrifolium","38.0862","-118.9654"
"Thelypodium_integrifolium","34.3629","-116.8596"
"Thelypodium_integrifolium","37.4299","-118.0807"
"Thelypodium_integrifolium","37.4225","-118.0611"
"Thelypodium_integrifolium","37.323","-118.2192"
"Thelypodium_integrifolium","34.4575","-116.9639"
"Thelypodium_integrifolium","47.6214","-120.0036"
"Thelypodium_integrifolium","42.1917","-112.25"
"Thelypodium_integrifolium","47.6047","-119.3464"
"Thelypodium_integrifolium","46.4824","-120.5129"
"Thelypodium_integrifolium","48.7053","-119.4383"
"Thelypodium_integrifolium","47.6167","-119.3167"
"Thelypodium_integrifolium","42.8695","-112.6435"
"Thelypodium_integrifolium","46.3081","-120.3353"
"Thelypodium_integrifolium","36.73","-107.71"
"Thelypodium_integrifolium","38.56","-111.84"
"Thelypodium_integrifolium","38.27","-109.37"
"Thelypodium_integrifolium","40.34","-109.18"
"Thelypodium_integrifolium","36.31","-113.46"
"Thelypodium_integrifolium","37.28","-109.54"
"Thelypodium_integrifolium","37.82","-109.07"
"Thelypodium_integrifolium","40.86","-109.07"
"Thelypodium_integrifolium","40.0116","-108.2452"
"Thelypodium_integrifolium","40.6999","-105.5759"
"Thelypodium_integrifolium","40.5768","-105.0949"
"Thelypodium_integrifolium","40.4569","-108.8447"
"Thelypodium_integrifolium","40.0567","-106.3247"
"Thelypodium_integrifolium","40.5757","-105.0834"
"Thelypodium_integrifolium","37.027","-105.7546"
"Thelypodium_integrifolium","49.25","-119.8333"
"Thelypodium_integrifolium","36.1128","-113.9953"
"Thelypodium_integrifolium","36.0691","-112.1329"
"Thelypodium_integrifolium","36.0992","-112.2096"
"Thelypodium_integrifolium","35.625","-113.4461"
"Thelypodium_integrifolium","35.5292","-113.4255"
"Thelypodium_integrifolium","36.0556","-112.1389"
"Thelypodium_integrifolium","36.135","-111.2392"
"Thelypodium_integrifolium","36.5943","-110.4634"
"Thelypodium_integrifolium","36.0544","-112.1393"
"Thelypodium_integrifolium","36.4047","-111.8813"
"Thelypodium_integrifolium","36.2503","-112.6978"
"Thelypodium_integrifolium","40.1439","-106.4633"
"Thelypodium_integrifolium","36.0156","-114.7369"
"Thelypodium_integrifolium","36.2676","-112.7124"
"Thelypodium_integrifolium","36.8419","-110.3911"
"Thelypodium_integrifolium","36.195","-112.0357"
"Thelypodium_integrifolium","36.0789","-112.12"
"Thelypodium_integrifolium","36.388","-112.5088"
"Thelypodium_integrifolium","36.0544","-112.1386"
"Thelypodium_integrifolium","36.2629","-112.7082"
"Thelypodium_integrifolium","42.6833","-118.55"
"Thelypodium_integrifolium","38.6667","-110.0833"
"Thelypodium_integrifolium","38.2589","-112.2967"
"Thelypodium_integrifolium","38.3475","-111.4594"
"Thelypodium_integrifolium","37.7931","-111.4131"
"Thelypodium_integrifolium","41.406","-102.39"
"Thelypodium_integrifolium","36.99","-108.24"
"Thelypodium_integrifolium","33.07","-108.48"
"Thelypodium_integrifolium","36.8672","-103.9311"
"Thelypodium_integrifolium","36.8333","-105.5875"
"Thelypodium_integrifolium","40.55","-120.0198"
"Thelypodium_integrifolium","37.4276","-118.1029"
"Thelypodium_integrifolium","38.4402","-119.1805"
"Thelypodium_integrifolium","38.0836","-118.9514"
"Thelypodium_integrifolium","34.4589","-116.9647"
"Thelypodium_integrifolium","34.3622","-116.86"
"Thelypodium_integrifolium","34.696","-118.147"
"Thelypodium_integrifolium","34.3856","-116.8742"
"Thelypodium_integrifolium","34.3667","-116.8583"
"Thelypodium_integrifolium","36.4458","-117.6222"
"Thelypodium_integrifolium","34.4569","-116.9625"
"Thelypodium_integrifolium","37.3958","-118.3153"
"Thelypodium_integrifolium","34.375","-116.8583"
"Thelypodium_integrifolium","34.3583","-116.8583"
"Thelypodium_integrifolium","34.7775","-118.1497"
"Thelypodium_integrifolium","34.3628","-116.8589"
"Thelypodium_integrifolium","37.3985","-118.3219"
"Thelypodium_integrifolium","40.5461","-120.0257"
"Thelypodium_integrifolium","34.386","-116.8769"
"Thelypodium_integrifolium","36.1227","-116.1552"
"Thelypodium_integrifolium","34.3647","-116.8594"
"Thelypodium_integrifolium","34.6981","-118.1358"
"Thelypodium_integrifolium","40.5464","-120.0188"
"Thelypodium_integrifolium","40.5421","-120.0183"
"Thelypodium_integrifolium","37.5142","-118.6294"
"Thelypodium_integrifolium","37.4223","-118.0613"
"Thelypodium_integrifolium","37.2799","-117.6631"
"Thelypodium_integrifolium","36.9364","-118.2331"
"Thelypodium_integrifolium","37.3946","-118.3134"
"Thelypodium_integrifolium","37.2948","-118.2013"
"Thelypodium_integrifolium","38.0294","-119.1012"
"Thelypodium_integrifolium","40.5447","-120.0182"
"Thelypodium_integrifolium","40.5486","-120.0164"
"Thelypodium_integrifolium","37.5144","-118.6283"
